sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.969;6.213;7.8701;-2.6425;6.7328;6.6224;-0.6287;0.4915;-1.1851;-8.22;-35.78;-11.51;137.0;7.69;-11.29;-30.79;16.38;-43.36;21.75;5.0;;;;NaN;;;;0 / 0;36;2021-12-24 16:29:14:108
-2.1469;2.099;8.159;-1.6971;5.2455;8.1102;0.481;3.1017;-0.0105;-18.47;-7.41;10.31;246.0;6.11;-1.2;-27.79;1.01;-33.1;12.61;5.0;;;;NaN;;;;0 / 0;536;2021-12-24 16:29:14:608
0.203;4.638;8.444;-0.342;3.618;9.1084;-0.4201;-0.4115;0.1205;-6.33;4.49;18.85;153.0;7.5;0.41;-29.04;328.62;-22.31;2.38;5.0;;;;NaN;;;;0 / 0;1036;2021-12-24 16:29:15:108
-0.895;4.619;8.6;-0.2151;4.4465;8.738;0.4374;-0.0666;-0.1795;1.66;5.95;-7.96;179.0;9.24;-2.51;-29.34;326.08;-26.64;0.28;5.0;;;;NaN;;;;0 / 0;1536;2021-12-24 16:29:15:608
-0.701;4.0931;9.174;-0.7961;4.1375;8.8554;0.0808;0.3366;-0.1589;-8.07;13.65;29.55;154.0;12.84;-1.14;-27.71;317.76;-25.3;5.12;5.0;;;;NaN;;;;0 / 0;2035;2021-12-24 16:29:16:107
-0.3109;3.7121;8.9711;-0.4397;3.9734;8.9548;-0.4824;0.2959;-0.1988;-5.04;0.35;16.24;149.0;13.56;-0.71;-26.89;309.98;-24.16;3.23;5.0;;;;NaN;;;;0 / 0;2536;2021-12-24 16:29:16:608
-0.828;4.377;8.1911;-0.5405;4.2384;8.8269;0.2537;-0.0767;0.612;15.41;8.61;1.95;165.0;13.8;-5.76;-28.14;297.66;-24.72;3.03;5.0;;;;NaN;;;;0 / 0;3036;2021-12-24 16:29:17:108
-0.555;3.707;9.5051;-0.7789;4.3334;8.7627;-0.452;0.4107;-1.003;-13.35;4.01;22.45;184.0;14.7;-2.81;-24.96;306.26;-26.86;5.45;5.0;;;;NaN;;;;0 / 0;3536;2021-12-24 16:29:17:608
-0.45;3.8681;9.32;-0.4989;3.9409;8.9661;0.1549;0.1135;-0.0914;0.87;-5.16;-13.4;158.0;13.69;-1.39;-25.14;306.83;-23.69;3.18;5.0;;;;NaN;;;;0 / 0;4036;2021-12-24 16:29:18:108
-0.351;3.767;9.21;-0.4657;3.8949;8.9879;-0.0446;0.2572;0.6929;1.01;-6.29;-3.54;153.0;13.31;-0.84;-26.59;310.96;-23.4;2.97;5.0;;;;NaN;;;;0 / 0;4535;2021-12-24 16:29:18:607
-0.7339;3.872;8.456;-0.3642;3.7362;9.0597;-0.1556;0.0331;-0.7883;-0.42;2.91;3.92;148.0;14.4;-1.69;-26.76;303.72;-22.41;2.21;5.0;;;;NaN;;;;0 / 0;5036;2021-12-24 16:29:19:108
-0.282;4.373;9.395;-0.4176;3.9356;8.9726;0.0864;-0.4093;0.3917;6.26;-5.99;-6.42;149.0;13.44;-1.74;-26.89;308.21;-23.66;2.66;5.0;;;;NaN;;;;0 / 0;5536;2021-12-24 16:29:19:608
-0.129;4.5161;8.471;-0.256;4.3689;8.776;-0.0517;-0.0714;-0.3769;4.62;-2.28;-4.09;159.0;13.61;-1.86;-26.89;307.87;-26.13;1.68;5.0;;;;NaN;;;;0 / 0;6035;2021-12-24 16:29:20:107
-0.244;4.296;8.8781;-0.3466;4.4027;8.756;-0.1179;0.1104;-0.11;-0.91;2.25;2.95;160.0;14.46;-2.59;-28.26;308.18;-26.68;2.27;5.0;;;;NaN;;;;0 / 0;6536;2021-12-24 16:29:20:608
0.258;4.442;9.186;-0.3535;4.4412;8.7362;-0.2548;0.0065;0.1936;1.57;-0.99;-0.3;160.0;13.2;-1.61;-24.96;309.19;-26.93;2.32;5.0;;;;NaN;;;;0 / 0;7036;2021-12-24 16:29:21:108
0.4421;4.667;9.335;-0.0227;4.7345;8.588;-0.3578;0.0796;-0.1323;6.58;-13.18;-9.34;172.0;11.29;-3.71;-30.3;315.19;-28.87;0.15;5.0;;;;NaN;;;;0 / 0;7536;2021-12-24 16:29:21:608
-0.292;4.653;8.303;-0.0495;4.6356;8.6417;0.2365;-0.009;0.3469;-2.34;6.62;0.28;174.0;12.9;-2.04;-28.69;311.13;-28.59;-0.55;5.0;;;;NaN;;;;0 / 0;8036;2021-12-24 16:29:22:108
