ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.4691,4.052,9.0431,0.7667,4.0597,8.8939,0.4227,0.2757,-0.2968,-0.0374,-0.0513,0.0132,44.46,3.6,-22.86,284.17,-24.45,-4.93,5.0,,,,NaN,,,,0 / 38,21,2021-12-17 08:16:31:382
0.911,2.7281,8.7101,1.0226,2.9749,9.2884,0.0472,0.2835,0.6988,-0.4674,-0.1192,-0.2372,42.41,12.66,-23.21,292.96,-20.81,-6.01,5.0,,,,NaN,,,,0 / 38,521,2021-12-17 08:16:31:882
0.225,2.633,9.447,0.7511,1.7055,9.628,0.4347,-0.5446,0.1283,-0.298,-0.0129,-0.1507,40.91,16.2,-23.4,294.46,-11.05,-4.72,5.0,,,,NaN,,,,0 / 38,1021,2021-12-17 08:16:32:382
1.16,2.372,10.955,0.5669,2.2597,9.5259,-0.3603,-0.736,-1.6935,0.0776,0.1628,0.2394,45.06,10.01,-20.46,286.09,-12.08,-3.77,5.0,,,,NaN,,,,0 / 38,1522,2021-12-17 08:16:32:883
0.794,1.701,9.5741,0.7289,1.9314,9.5869,-0.4373,-0.0371,0.7097,-0.0272,-0.1977,-0.179,41.16,15.84,-24.49,294.86,-11.36,-4.35,5.0,,,,NaN,,,,0 / 38,2021,2021-12-17 08:16:33:382
1.493,1.385,9.3611,1.2091,1.5496,9.6077,-0.1771,-0.0959,0.4223,-0.1185,-0.0243,-0.1158,39.54,18.49,-25.01,296.31,-9.87,-7.05,5.0,,,,NaN,,,,0 / 38,2521,2021-12-17 08:16:33:882
2.0891,1.1921,8.921,1.8081,1.051,9.581,-0.2078,-0.2861,-0.3988,-0.1041,-0.0964,-0.0241,38.21,17.76,-26.1,295.24,-6.15,-10.69,5.0,,,,NaN,,,,0 / 39,3021,2021-12-17 08:16:34:382
2.417,0.933,9.071,2.2135,1.0858,9.4917,-0.2117,0.1647,0.4369,-0.0283,-0.1028,-0.0213,37.09,18.49,-26.51,295.41,-6.5,-12.6,5.0,,,,NaN,,,,0 / 39,3521,2021-12-17 08:16:34:882
2.4671,1.1171,8.9951,2.1126,1.0039,9.5236,0.1649,0.0368,0.2345,-0.0269,0.0333,-0.0151,36.36,19.31,-26.51,296.9,-5.88,-12.51,5.0,,,,NaN,,,,0 / 39,4022,2021-12-17 08:16:35:383
2.297,0.897,9.074,2.2972,0.9697,9.4843,-0.1544,-0.2016,0.2906,0.0077,-0.0458,-0.0488,35.21,20.29,-27.0,298.24,-5.67,-13.62,5.0,,,,NaN,,,,0 / 39,4521,2021-12-17 08:16:35:882
2.388,0.308,9.435,2.3344,0.7193,9.4976,-0.072,0.3667,0.0817,-0.0791,0.0223,0.0017,34.5,21.11,-26.64,298.83,-4.21,-13.81,5.0,,,,NaN,,,,0 / 39,5021,2021-12-17 08:16:36:382
1.91,0.5861,9.567,2.1173,0.5497,9.5596,0.1708,-0.0199,0.0058,0.0076,0.0415,-0.0649,33.54,22.01,-25.99,300.62,-3.21,-12.49,5.0,,,,NaN,,,,0 / 39,5521,2021-12-17 08:16:36:882
1.452,0.459,9.878,1.8784,0.7307,9.5973,0.2438,-0.0555,-0.3365,0.0161,0.0388,-0.0443,32.76,22.2,-26.81,301.83,-4.12,-11.32,5.0,,,,NaN,,,,0 / 39,6022,2021-12-17 08:16:37:383
1.316,0.347,10.2371,1.4999,0.5547,9.6754,0.1991,0.2251,-0.5552,-0.0558,0.0331,-7.0E-4,33.84,22.86,-26.29,302.74,-3.5,-8.97,5.0,,,,NaN,,,,0 / 39,6521,2021-12-17 08:16:37:882
1.424,0.3941,9.8111,1.3552,0.3428,9.7065,-0.059,-0.0317,-0.1007,-0.0293,0.007,-0.0066,32.7,22.69,-26.81,303.18,-2.17,-7.99,5.0,,,,NaN,,,,0 / 39,7021,2021-12-17 08:16:38:382
1.2041,0.416,10.328,1.0848,0.3553,9.74,-0.0928,-0.04,-0.5871,-0.021,0.0584,0.0094,32.94,22.99,-27.06,303.63,-2.26,-6.67,5.0,,,,NaN,,,,0 / 39,7521,2021-12-17 08:16:38:882
0.7271,0.05,9.924,0.8839,0.0707,9.7665,0.3731,-0.0375,-0.5326,-0.0641,0.0518,0.0407,32.89,22.8,-26.21,303.5,-1.0,-5.51,5.0,,,,NaN,,,,0 / 39,8022,2021-12-17 08:16:39:383
0.749,0.2201,9.8951,0.7816,0.1327,9.7746,0.0901,-0.009,0.0494,0.0264,0.016,-0.0243,32.51,22.56,-25.91,303.58,-0.58,-4.63,5.0,,,,NaN,,,,0 / 39,8521,2021-12-17 08:16:39:882
1.01,0.165,10.146,0.8796,0.18,9.7655,-0.1147,0.0574,-0.2046,0.0239,-0.0252,-0.0054,33.06,22.26,-25.99,302.48,-0.94,-5.01,5.0,,,,NaN,,,,0 / 39,9022,2021-12-17 08:16:40:383
0.7511,0.189,10.8281,0.7081,0.2839,9.7769,0.0837,-0.0831,0.1592,0.0287,0.0886,-0.0363,33.24,22.39,-25.91,302.8,-1.46,-4.76,5.0,,,,NaN,,,,0 / 39,9521,2021-12-17 08:16:40:882
0.8951,0.6,8.8991,0.9619,0.3506,9.7531,0.2725,0.0525,-0.0048,0.0368,-0.0408,-0.0071,33.19,22.5,-26.4,304.01,-1.96,-5.2,5.0,45.367664,15.083013,520.8,NaN,38.91,5.1,343.64,12 / 39,10022,2021-12-17 08:16:41:383
1.122,0.399,10.091,0.8307,0.561,9.7553,0.0496,0.0917,0.3981,0.0132,0.0076,-0.0027,33.19,22.44,-26.7,303.38,-2.98,-5.03,5.0,45.367664,15.083013,520.8,NaN,38.91,5.1,343.64,12 / 39,10522,2021-12-17 08:16:41:883
0.959,0.081,10.103,0.8287,0.213,9.7692,0.0136,0.0805,-0.3921,-0.0555,-0.0136,0.0469,33.3,22.31,-26.16,302.9,-1.75,-4.87,5.0,45.36777,15.082995,519.5,NaN,36.05,4.9,345.57,14 / 39,11022,2021-12-17 08:16:42:383
0.4781,0.471,10.1081,0.6309,0.2494,9.7832,0.2359,-0.2681,0.1672,0.0428,0.0943,-0.0034,33.6,22.09,-26.04,301.9,-0.97,-4.58,5.0,45.36777,15.082995,519.5,NaN,36.05,4.9,345.57,14 / 39,11522,2021-12-17 08:16:42:883
1.373,0.8591,9.842,0.6361,0.5806,9.7688,-0.2901,-0.1004,-0.3648,0.0396,-0.1085,-0.0249,32.94,22.56,-26.04,305.21,-3.19,-3.29,5.0,45.367867,15.082992,518.1,NaN,33.06,4.8,344.0,17 / 39,12021,2021-12-17 08:16:43:382
0.4451,1.1531,9.675,0.7916,0.8448,9.7381,0.1097,-0.2746,-0.1227,0.0744,0.07,-0.0456,33.06,21.84,-26.29,303.95,-4.43,-5.17,5.0,45.367867,15.082992,518.1,NaN,33.06,4.8,344.0,17 / 39,12522,2021-12-17 08:16:43:883
0.251,1.053,9.9071,0.3711,1.0943,9.7383,0.2758,0.0592,-0.1092,0.0073,0.0476,-0.0329,33.9,22.44,-26.34,305.05,-6.39,-2.41,5.0,45.367954,15.082995,516.9,NaN,30.25,4.6,345.61,19 / 39,13021,2021-12-17 08:16:44:382
-0.0401,0.7031,9.885,0.2127,0.949,9.7583,0.4139,0.5783,-0.145,-0.012,0.0143,0.0285,34.14,21.9,-26.21,305.16,-5.73,-1.44,5.0,45.367954,15.082995,516.9,NaN,30.25,4.6,345.61,19 / 39,13522,2021-12-17 08:16:44:883
