sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.5906;8.3177;10.4989;-2.7706;0.5714;9.3898;0.18;7.7464;1.1091;-0.3012;-0.3318;0.3375;1083.0;31.44;4.5;-14.46;283.71;-3.34;16.44;3.1;999.52;45.07495;14.670279;367.04;NaN;;0.04;12.903226;37.01;0 / 0;14;2021-12-12 13:50:46:969
-1.4461;4.5132;6.0551;-2.4346;0.4844;9.4873;1.022;4.1485;-2.0555;0.5961;-0.0881;-0.1054;1065.0;33.12;6.72;-14.82;286.03;-2.83;14.39;3.1;999.49;45.07495;14.670279;367.04;NaN;;0.04;12.903226;37.01;0 / 8;513;2021-12-12 13:50:47:468
-2.4086;5.6457;7.2187;-2.8904;0.6648;9.3474;2.2415;4.9833;-3.1678;0.0152;-0.0508;0.1115;1112.0;33.42;6.3;-12.54;284.05;-3.06;15.15;3.1;999.49;45.07495;14.670279;367.04;NaN;;0.04;12.903226;37.01;0 / 8;1014;2021-12-12 13:50:47:969
-2.3488;5.8708;9.0863;-3.0201;0.8104;9.2947;1.1311;4.4498;-0.5748;0.1991;-0.2652;-0.1359;1107.0;33.36;6.06;-12.12;285.67;-4.74;18.0;3.1;999.45;45.07495;14.670279;367.04;NaN;;0.04;12.903226;37.01;0 / 8;1514;2021-12-12 13:50:48:469
-0.2299;5.2459;8.0232;-2.0726;0.8616;9.5463;-0.4102;5.7322;1.1681;-0.1992;-0.2035;0.2208;1172.0;33.18;5.1;-13.68;283.07;-5.04;12.25;3.1;999.43;45.07495;14.670279;367.04;NaN;;0.04;12.903226;37.01;0 / 8;2013;2021-12-12 13:50:48:968
-2.9904;-0.6201;18.5892;-2.4765;-0.8948;9.4465;-0.2171;4.2635;1.1673;-2.6286;2.951;-0.8433;1008.0;33.78;7.44;-15.18;279.49;5.24;14.69;3.1;999.41;45.0893;14.611173;764.2;NaN;;52.84;154.8387;341.58;8 / 9;2513;2021-12-12 13:50:49:468
6.0288;1.743;7.5061;3.0959;-2.2493;9.0292;0.9289;3.6979;-0.6516;-0.545;-0.2121;-0.8188;1210.0;10.14;6.9;-28.8;273.84;13.26;-18.93;3.1;999.33;45.0893;14.611173;764.2;NaN;;52.84;154.8387;341.58;8 / 9;3013;2021-12-12 13:50:49:968
0.0886;3.4142;8.1956;3.7869;0.09;9.0456;-3.6983;3.3242;-0.8499;0.4953;0.1972;-2.4279;165.0;15.36;22.8;-26.46;310.9;7.34;-21.84;3.1;999.22;45.0893;14.611173;764.2;NaN;;52.84;154.8387;341.58;8 / 9;3513;2021-12-12 13:50:50:468
7.8077;5.4829;2.6385;7.7792;3.0491;5.1339;1.3879;6.4341;-3.3825;-0.7612;-0.3831;0.4762;2977.0;-13.26;1.8;-30.42;300.22;-18.11;-56.58;0.0;999.31;45.0893;14.611173;764.2;NaN;;52.84;154.8387;341.58;8 / 9;4014;2021-12-12 13:50:50:969
5.7199;6.5938;4.1924;9.0276;3.1276;2.2114;-3.1813;3.355;-6.3556;2.4666;-2.0105;2.5684;566.0;-14.28;2.58;-28.08;308.0;-26.06;-61.42;0.0;999.19;45.0893;14.611173;764.2;NaN;;52.84;154.8387;341.58;8 / 9;4514;2021-12-12 13:50:51:469
