sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.046;6.9431;6.824;2.3287;7.0008;6.4604;-0.1748;-0.2013;0.3102;0.1288;-0.124;0.7039;2151.0;30.36;-17.7;41.1;200.38;-46.02;-16.16;2.0;61.326;45.345684;14.423538;350.65;NaN;35.8;20.0;83.87;14 / 41;47;2021-12-16 10:28:35:651
2.2421;6.86;6.548;2.1124;6.6768;6.865;-0.5373;0.3432;-1.0894;-0.2016;-0.1158;0.1011;2461.0;32.81;-19.69;40.09;203.57;-43.94;-16.03;2.0;59.992;45.345684;14.423538;350.65;NaN;35.8;20.0;83.87;14 / 41;547;2021-12-16 10:28:36:151
1.575;5.313;8.727;1.4758;6.9753;6.7333;-0.2743;1.2646;-2.4172;-0.1933;0.0813;-0.1418;2059.0;34.2;-23.21;41.7;204.19;-44.92;-13.98;2.0;60.21;45.34547;14.42375;350.65;NaN;34.18;19.032257;94.22;15 / 41;1047;2021-12-16 10:28:36:651
0.854;6.857;7.281;1.2254;7.3787;6.3422;0.1911;0.8096;-1.9786;0.3362;0.2614;-0.0441;2302.0;29.21;-28.99;39.9;200.86;-46.35;-11.97;2.0;62.009;45.34547;14.42375;350.65;NaN;34.18;19.032257;94.22;15 / 41;1547;2021-12-16 10:28:37:151
0.225;7.286;6.455;0.9515;7.5515;6.1838;0.8418;0.0372;-0.2165;0.2074;0.0358;-0.1171;2172.0;31.14;-30.24;38.81;205.22;-50.36;-8.75;2.0;64.036;45.345352;14.423918;350.65;NaN;33.56;18.709679;98.15;14 / 41;2047;2021-12-16 10:28:37:651
0.99;5.33;8.961;0.4893;6.9935;6.8573;-0.1509;1.2022;-2.2659;-0.6923;-0.0231;-0.0626;2359.0;32.1;-28.91;36.6;211.24;-45.49;-4.08;2.0;63.21;45.345352;14.423918;350.65;NaN;33.56;18.709679;98.15;14 / 41;2547;2021-12-16 10:28:38:151
0.593;5.4521;7.0991;0.9918;5.4252;8.1089;0.3758;0.0621;-0.3223;-0.1259;0.043;-0.0199;3014.0;30.19;-25.86;37.14;209.87;-34.24;-6.85;2.0;62.886;45.34527;14.42411;350.32;NaN;34.76;18.064516;100.95;16 / 41;3047;2021-12-16 10:28:38:651
0.914;4.938;6.927;0.4409;6.0158;7.7321;-0.7267;0.4028;0.4815;0.1497;-0.0529;-0.0474;2856.0;34.61;-24.19;37.99;216.71;-36.52;-3.97;2.0;59.425;45.34527;14.42411;350.32;NaN;34.76;18.064516;100.95;16 / 41;3548;2021-12-16 10:28:39:152
0.222;5.933;7.4321;0.5314;5.3211;8.2203;0.349;-0.54;0.6682;-0.1046;0.4752;-0.1365;3892.0;25.26;-26.34;35.64;205.54;-33.75;-6.75;2.0;59.724;45.34521;14.424237;350.0;NaN;33.07;18.064516;103.86;15 / 41;4048;2021-12-16 10:28:39:652
-0.22;4.8131;9.624;0.3796;5.8222;7.8822;-0.1484;0.5609;-2.1203;-0.0866;0.0758;0.4652;3817.0;15.49;-18.71;74.4;190.85;-36.42;-2.76;2.0;58.361;45.34521;14.424237;350.0;NaN;33.07;18.064516;103.86;15 / 41;4547;2021-12-16 10:28:40:151
-2.745;5.208;8.219;-1.3844;4.9296;8.3638;0.4609;0.4156;-0.6481;-0.2062;0.1337;-0.0023;4432.0;27.36;-49.09;167.21;202.05;-31.37;8.35;2.0;59.309;45.345146;14.424358;350.32;NaN;30.09;17.419355;104.81;15 / 41;5047;2021-12-16 10:28:40:651
