ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.447,6.3401,7.599,-0.3994,6.3636,7.4509,0.0407,0.0305,-0.1357,0.0032,0.0483,0.0846,11.16,-21.36,8.81,208.23,-40.35,3.27,5.0,45.251644,14.577382,68.4,NaN,0.0,8.7,0.0,9 / 35,16,2021-12-16 10:56:50:212
-0.591,7.262,7.6571,-0.3271,6.5339,7.3056,0.2661,-0.689,-0.3818,0.1418,-0.0505,-0.0186,12.19,-21.19,10.14,209.53,-40.98,2.79,5.0,45.251644,14.577382,68.4,NaN,0.0,8.7,0.0,9 / 35,516,2021-12-16 10:56:50:712
-1.517,6.039,7.379,-0.9694,6.9054,6.8953,0.6118,0.6883,-0.6089,0.1284,-0.0488,-0.3046,14.76,-19.56,8.64,219.34,-44.15,6.41,5.0,45.251602,14.577307,68.4,NaN,0.0,7.1,0.0,14 / 35,1017,2021-12-16 10:56:51:213
-0.471,5.6291,7.743,-1.0191,5.6315,7.9635,-0.4294,-0.0561,0.286,-0.2562,-0.2619,0.0975,14.59,-21.71,5.4,218.77,-36.01,8.54,5.0,45.251602,14.577307,68.4,NaN,0.0,7.1,0.0,14 / 35,1517,2021-12-16 10:56:51:713
-0.9829,5.414,8.5421,-0.6638,5.4004,8.1587,0.3524,0.0651,-0.4265,0.2188,-0.0106,0.1364,12.9,-22.31,6.54,212.42,-33.09,5.94,5.0,45.251595,14.577298,68.5,NaN,0.0,6.3,0.0,16 / 35,2016,2021-12-16 10:56:52:212
-0.789,5.177,8.753,-0.6038,5.1411,8.3292,0.3095,0.0397,-0.2681,-0.0205,0.0054,-0.0252,13.69,-21.9,6.19,214.08,-32.31,4.05,5.0,45.251595,14.577298,68.5,NaN,0.0,6.3,0.0,16 / 35,2517,2021-12-16 10:56:52:713
-0.567,4.545,8.349,-0.5998,4.9108,8.4673,-0.0422,0.3815,0.1279,-0.0374,-0.0168,-0.0176,13.91,-22.56,5.76,212.74,-30.22,4.09,5.0,45.251568,14.577235,68.5,NaN,4.32,5.4,239.82,16 / 35,3016,2021-12-16 10:56:53:212
-0.6821,5.0411,8.3291,-0.7587,5.4566,8.113,-0.2467,0.2553,0.0344,0.3037,0.0791,0.0274,12.49,-22.09,7.01,209.95,-31.89,5.02,5.0,45.251568,14.577235,68.5,NaN,4.32,5.4,239.82,16 / 35,3516,2021-12-16 10:56:53:712
-0.7249,5.16,8.322,-0.696,5.2584,8.2484,-0.0502,-0.0393,0.5071,0.0469,0.0017,-0.0232,13.8,-21.9,6.3,214.29,-32.53,4.55,5.0,45.251564,14.577252,68.6,NaN,7.54,5.0,241.24,17 / 35,4016,2021-12-16 10:56:54:212
-0.804,5.2181,8.3771,-0.7197,5.3795,8.1678,-0.0591,-0.0692,-0.4534,0.124,-0.0341,-0.0817,14.4,-22.5,6.24,214.42,-32.64,4.9,5.0,45.251564,14.577252,68.6,NaN,7.54,5.0,241.24,17 / 35,4517,2021-12-16 10:56:54:713
