"","x","y","z","t"
"1",0.18,7.7464,1.1091,2021-12-12 13:50:46
"2",3.2635,9.1318,-5.2233,2021-12-12 13:50:47
"3",0.7209,10.182,0.5933,2021-12-12 13:50:48
"4",0.7118,7.9614,0.5157,2021-12-12 13:50:49
"5",-2.3104,9.7583,-4.2324,2021-12-12 13:50:50
"6",-4.1788,7.0814,-6.6672,2021-12-12 13:50:51
"7",-0.1759,4.945,-2.8579,2021-12-12 13:50:52
"8",-3.0209,4.0778,-2.3832,2021-12-12 13:50:53
"9",-2.1822,3.6909,-2.3549,2021-12-12 13:50:54
"10",-1.4996,2.2704,-0.6565,2021-12-12 13:50:55
"11",-0.8055,4.1366,-0.3706,2021-12-12 13:50:56
"12",-0.9679,4.1575,1.3644,2021-12-12 13:50:57
"13",-1.0054,3.3624,1.9498,2021-12-12 13:50:58
"14",0.2953,2.8624,0.7168,2021-12-12 13:50:59
"15",-1.7213,1.5154,-0.3544,2021-12-12 13:51:00
"16",-1.5914,1.1791,-2.8543,2021-12-12 13:51:01
"17",-1.9506,1.2981,-2.7099,2021-12-12 13:51:02
"18",-2.7688,0.5019,-3.2584,2021-12-12 13:51:03
"19",0.2426,1.9145,-2.3576,2021-12-12 13:51:04
"20",-3.2696,0.00670000000000004,-1.8196,2021-12-12 13:51:05
"21",1.8324,1.0952,-1.1486,2021-12-12 13:51:06
"22",4.8827,1.6165,-1.4356,2021-12-12 13:51:07
"23",2.475,1.1907,-8.8263,2021-12-12 13:51:08
"24",0.0903,-0.0584,-0.1876,2021-12-12 13:51:09
"25",0.3814,2.9498,3.844,2021-12-12 13:51:10
"26",0.4898,1.5261,1.4721,2021-12-12 13:51:11
"27",-0.2319,1.0776,0.8248,2021-12-12 13:51:12
"28",0.8861,0.2544,0.3001,2021-12-12 13:51:13
"29",0.4492,-0.0119,-1.1255,2021-12-12 13:51:14
"30",0.2218,-0.0827,0.2396,2021-12-12 13:51:15
"31",-6.3242,-2.718,-2.8007,2021-12-12 13:51:16
"32",-0.09,0.9138,1.7409,2021-12-12 13:51:17
"33",0.5934,0.5071,0.6076,2021-12-12 13:51:18
"34",-2.4243,-1.8897,-4.9543,2021-12-12 13:51:19
"35",-12.8833,-25.1907000000002,-182.468300000001,2021-12-12 13:51:20
"36",-0.2625,0.1194,0.0496,2021-12-12 13:51:21
"37",-0.457,-0.0935,-0.0825,2021-12-12 13:51:22
"38",-0.0726,-0.0324,0.045,2021-12-12 13:51:23
"39",-0.0249,-0.0168,0.1002,2021-12-12 13:51:24
"40",-0.224,0.113,-0.2565,2021-12-12 13:51:25
"41",-0.0924,-0.0554,0.0705,2021-12-12 13:51:26
"42",-0.086,-0.1601,0.1945,2021-12-12 13:51:27
"43",-26.5746,130.9456,-24.8269,2021-12-12 13:51:28
