"x","y","z","t","class"
0.0472,0.2835,0.6988,2021-12-17 08:16:31,1
0.0744,-1.2806,-1.5652,2021-12-17 08:16:32,1
-0.6144,-0.133,1.132,2021-12-17 08:16:33,1
-0.4195,-0.1214,0.0381,2021-12-17 08:16:34,1
0.0105,-0.1648,0.5251,2021-12-17 08:16:35,1
0.0988,0.3468,0.0875,2021-12-17 08:16:36,1
0.4429,0.1696,-0.8917,2021-12-17 08:16:37,1
-0.1518,-0.0717,-0.6878,2021-12-17 08:16:38,1
0.4632,-0.0465,-0.4832,2021-12-17 08:16:39,1
-0.031,-0.0257,-0.0454,2021-12-17 08:16:40,1
0.3221,0.1442,0.3933,2021-12-17 08:16:41,1
0.2495,-0.1876,-0.2249,2021-12-17 08:16:42,1
-0.1804,-0.375,-0.4875,2021-12-17 08:16:43,1
0.6897,0.6375,-0.2542,2021-12-17 08:16:44,1
-0.2927,0.1507,-0.4661,2021-12-17 08:16:45,1
0.1715,-0.4794,-0.016,2021-12-17 08:16:46,1
0.1342,0.1602,-0.152,2021-12-17 08:16:47,1
-0.0265,0.2939,-0.0396,2021-12-17 08:16:48,1
-0.1085,-0.0217,-0.128,2021-12-17 08:16:49,1
0.00349999999999998,-0.2174,-0.3943,2021-12-17 08:16:50,1
-0.3276,0.1677,0.2271,2021-12-17 08:16:51,1
-0.1621,0.0157,0.0401,2021-12-17 08:16:52,1
-0.131,0.627,0.00609999999999999,2021-12-17 08:16:53,1
-0.5079,0.2289,-0.2738,2021-12-17 08:16:54,1
0.02,-0.1262,-0.7178,2021-12-17 08:16:55,1
-0.6764,-0.2292,-0.2843,2021-12-17 08:16:56,1
0.4711,-0.0514,-0.438,2021-12-17 08:16:57,1
0.0037,0.5466,-0.5219,2021-12-17 08:16:58,1
-0.2046,-0.0374,-0.1935,2021-12-17 08:16:59,1
0.6794,-0.0189,-1.4959,2021-12-17 08:17:00,1
0.5205,-0.5917,-0.9228,2021-12-17 08:17:01,1
-0.4024,0.0547,-0.4376,2021-12-17 08:17:02,1
0.2285,-0.0593,-0.5091,2021-12-17 08:17:03,1
-0.2403,0.0571,0.1203,2021-12-17 08:17:04,1
-0.2052,0.1058,0.2007,2021-12-17 08:17:05,1
0.1584,-0.0867,0.5769,2021-12-17 08:17:06,1
-0.2376,-0.6748,-0.0543,2021-12-17 08:17:07,1
-0.3486,0.0565,0.3239,2021-12-17 08:17:08,1
0.4323,-0.1679,-0.1515,2021-12-17 08:17:09,1
0.2204,-0.1786,-0.2916,2021-12-17 08:17:10,1
-0.144,0.0979,-0.9105,2021-12-17 08:17:11,1
0.3574,-0.2272,0.4413,2021-12-17 08:17:12,1
-0.3683,0.00570000000000001,0.4532,2021-12-17 08:17:13,1
-0.000199999999999992,0.2969,-0.1954,2021-12-17 08:17:14,1
-0.7299,0.1308,-0.1335,2021-12-17 08:17:15,1
0.3615,-0.7042,-0.3669,2021-12-17 08:17:16,1
