"x","y","z","t","class"
0.2661,-0.689,-0.3818,2021-12-16 10:56:50,0
0.1824,0.6322,-0.3229,2021-12-16 10:56:51,0
0.6619,0.1048,-0.6946,2021-12-16 10:56:52,0
-0.2889,0.6368,0.1623,2021-12-16 10:56:53,0
-0.1093,-0.1085,0.0537,2021-12-16 10:56:54,0
0.0362,0.265,-1.1717,2021-12-16 10:56:55,0
-0.2908,0.3696,0.1912,2021-12-16 10:56:56,0
0.5777,0.3731,0.654,2021-12-16 10:56:57,0
-0.7907,0.3946,-1.0215,2021-12-16 10:56:58,0
0.5347,-0.299,-0.2824,2021-12-16 10:56:59,0
-0.275,1.1205,-0.316,2021-12-16 10:57:00,0
0.5594,-1.2826,1.7946,2021-12-16 10:57:01,0
-0.2545,0.1847,-1.3575,2021-12-16 10:57:02,0
-0.0679,-0.0955,-0.32,2021-12-16 10:57:03,0
0.00270000000000001,-0.1469,-0.1159,2021-12-16 10:57:04,0
0.2887,0.3675,0.7216,2021-12-16 10:57:05,0
-0.6266,0.0885,0.2189,2021-12-16 10:57:06,0
0.3288,0.2008,-1.5064,2021-12-16 10:57:07,0
-0.3501,-1.0599,0.4724,2021-12-16 10:57:08,0
0.0537,-0.5322,-1.5481,2021-12-16 10:57:09,0
-0.1251,0.0691,-1.2591,2021-12-16 10:57:10,0
0.4748,-0.7769,-0.2749,2021-12-16 10:57:11,0
1.0706,-0.8093,-1.0295,2021-12-16 10:57:12,0
-0.1142,1.67,-1.044,2021-12-16 10:57:13,0
-0.5498,0.4162,0.816,2021-12-16 10:57:14,0
0.6303,-0.0607,-0.5073,2021-12-16 10:57:15,0
-0.5572,0.1227,0.7851,2021-12-16 10:57:16,0
-0.9562,0.145,0.1719,2021-12-16 10:57:17,0
0.5915,-0.042,-0.5824,2021-12-16 10:57:18,0
0.2311,-0.0306,-0.3032,2021-12-16 10:57:19,0
-0.0611,0.1868,0.0548,2021-12-16 10:57:20,0
0.4229,0.1786,-0.7927,2021-12-16 10:57:21,0
-0.00169999999999998,-0.3259,-0.1917,2021-12-16 10:57:22,0
0.4054,-0.0446,-0.6744,2021-12-16 10:57:23,0
