"x","y","z","t","class"
-0.7625,-0.2507,-3.1579,2022-01-06 16:19:12,2
4.17,-4.4724,-4.9531,2022-01-06 16:19:13,2
6.321,-2.2354,1.2669,2022-01-06 16:19:14,2
-4.2884,1.0742,-3.9134,2022-01-06 16:19:15,2
1.2339,-2.5816,3.4047,2022-01-06 16:19:16,2
-0.3421,1.3089,4.3281,2022-01-06 16:19:17,2
-0.2904,1.9789,6.0542,2022-01-06 16:19:18,2
1.2567,3.7203,2.5775,2022-01-06 16:19:19,2
-4.1637,0.2621,1.102,2022-01-06 16:19:20,2
0.4655,2.39,5.2175,2022-01-06 16:19:21,2
-2.6302,3.4599,0.123,2022-01-06 16:19:22,2
-1.6366,3.2812,-7.9878,2022-01-06 16:19:23,2
2.0047,-0.0773,-5.0402,2022-01-06 16:19:24,2
-0.1216,-2.3357,-4.556,2022-01-06 16:19:25,2
-0.6415,-1.6412,-4.0433,2022-01-06 16:19:26,2
-1.0748,-2.4161,3.6759,2022-01-06 16:19:27,2
0.2611,-1.9517,4.6137,2022-01-06 16:19:28,2
-0.6232,2.3553,1.9134,2022-01-06 16:19:29,2
-0.8904,0.171,3.787,2022-01-06 16:19:30,2
3.2275,1.1665,5.6398,2022-01-06 16:19:31,2
2.2854,1.9735,3.2678,2022-01-06 16:19:32,2
0.2049,1.6746,-7.8473,2022-01-06 16:19:33,2
-0.9891,-2.6581,-5.1969,2022-01-06 16:19:34,2
2.0969,-3.5526,-3.694,2022-01-06 16:19:35,2
0.1441,-1.1713,3.6056,2022-01-06 16:19:36,2
-0.323,1.7397,4.3724,2022-01-06 16:19:37,2
0.4743,2.451,4.206,2022-01-06 16:19:38,2
-1.1676,2.7273,0.8531,2022-01-06 16:19:39,2
0.7741,0.5779,2.5181,2022-01-06 16:19:40,2
-2.5643,0.8094,-13.5249,2022-01-06 16:19:41,2
-1.4143,-0.7111,-9.835,2022-01-06 16:19:42,2
-0.3138,-5.1482,-4.1611,2022-01-06 16:19:43,2
0.5202,-3.2073,0.9669,2022-01-06 16:19:44,2
0.1213,0.6147,5.8042,2022-01-06 16:19:45,2
-1.3473,-0.0761000000000001,5.729,2022-01-06 16:19:46,2
-1.0234,1.9572,5.2526,2022-01-06 16:19:47,2
-0.9381,0.6001,5.2294,2022-01-06 16:19:48,2
-2.345,1.8847,2.421,2022-01-06 16:19:49,2
-1.5551,-0.8627,2.2904,2022-01-06 16:19:50,2
0.6884,-1.2934,0.4377,2022-01-06 16:19:51,2
-2.1338,-0.7894,-5.9687,2022-01-06 16:19:52,2
1.337,-3.9728,-4.3917,2022-01-06 16:19:53,2
0.1174,-0.9008,3.7208,2022-01-06 16:19:54,2
-0.3408,-3.3579,1.606,2022-01-06 16:19:55,2
0.372,-1.8311,6.3447,2022-01-06 16:19:56,2
2.8492,1.0684,7.4111,2022-01-06 16:19:57,2
-0.5736,0.00519999999999998,5.3709,2022-01-06 16:19:58,2
-0.1523,0.1729,1.9336,2022-01-06 16:19:59,2
0.1904,4.3421,-6.5796,2022-01-06 16:20:00,2
-1.4249,-0.1976,-0.6543,2022-01-06 16:20:01,2
0.8531,0.0565,-9.1797,2022-01-06 16:20:02,2
1.3172,-0.9905,-5.6038,2022-01-06 16:20:03,2
-0.6332,-2.8464,-4.8082,2022-01-06 16:20:04,2
-0.0889,-1.8167,6.0554,2022-01-06 16:20:05,2
0.2385,-0.375,5.3121,2022-01-06 16:20:06,2
-1.7915,0.5487,6.1062,2022-01-06 16:20:07,2
-2.6748,1.3711,3.5158,2022-01-06 16:20:08,2
-0.3039,3.4676,0.2194,2022-01-06 16:20:09,2
