sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.4831;5.409;7.0391;5.3391;4.4245;6.9384;-1.5362;0.0839;-1.715;-9.51;-52.3;2.76;3899.0;36.66;-29.51;-15.06;229.46;-27.32;-40.39;5.0;;;;NaN;;;;0 / 0;32;2021-12-18 13:52:39:110
-3.834;5.388;7.2161;5.4013;3.8403;7.2305;-0.2806;0.1134;-0.3362;-2.87;-13.36;-2.35;5595.0;34.56;-27.6;-20.16;235.42;-24.33;-36.88;5.0;;;;NaN;;;;0 / 0;532;2021-12-18 13:52:39:610
-3.535;3.267;5.225;4.5059;4.8794;7.2209;-0.4913;0.868;2.7418;32.47;-11.41;-28.2;5187.0;33.66;-27.54;-23.29;237.1;-22.69;-36.61;5.0;;;;NaN;;;;0 / 0;1032;2021-12-18 13:52:40:110
-2.139;2.5421;8.8871;2.6193;2.2122;9.1889;-1.5725;-0.5727;-4.3726;48.88;-8.75;-78.84;3282.0;27.06;-15.41;-29.4;253.58;-13.04;-15.91;5.0;;;;NaN;;;;0 / 0;1532;2021-12-18 13:52:40:610
-0.564;4.77;8.8751;4.6352;0.5411;8.6239;-0.7311;-0.8678;-0.0833;26.01;-25.8;6.4;3097.0;19.01;-23.04;-29.64;233.43;-1.96;-25.68;5.0;;;;NaN;;;;0 / 0;2033;2021-12-18 13:52:41:111
-1.79;6.7931;9.9521;5.4684;1.4365;8.0158;0.5728;-4.0335;2.1991;54.6;-0.61;-22.13;3450.0;14.46;-29.76;-22.91;222.4;-7.86;-51.89;5.0;;;;NaN;;;;0 / 0;2533;2021-12-18 13:52:41:611
-0.3919;3.71;1.448;9.0932;0.9385;3.5434;0.4546;2.123;7.7757;25.79;-140.75;-59.61;4417.0;-2.16;-28.74;-27.66;222.46;-5.49;-68.71;5.0;;;;NaN;;;;0 / 0;3033;2021-12-18 13:52:42:111
9.945;-8.6359;-3.588;-5.43;-7.671;-2.8108;0.6945;5.7042;3.2556;18.21;-103.57;115.49;5495.0;-44.21;15.3;5.29;340.47;43.29;107.33;5.0;;;;NaN;;;;0 / 0;3533;2021-12-18 13:52:42:611
3.03;-6.374;-2.3021;-7.8721;-4.3383;-3.9265;2.7806;2.0048;1.179;167.1;-197.89;-59.04;3511.0;-42.6;8.21;17.4;301.2;26.25;116.51;5.0;;;;NaN;;;;0 / 0;4033;2021-12-18 13:52:43:111
8.435;-8.0351;-6.8171;-5.7652;-6.1675;-4.9943;-4.0267;-0.5239;4.8777;-71.97;17.97;-43.53;6778.0;-43.56;12.11;12.06;305.83;37.26;127.57;5.0;;;;NaN;;;;0 / 0;4533;2021-12-18 13:52:43:611
7.6661;-14.991;-1.2469;-8.7915;-4.3239;-0.4357;-1.176;6.2078;-2.1491;168.88;-149.49;-23.83;3348.0;-37.2;25.44;13.2;340.92;36.0;106.84;5.0;;;;NaN;;;;0 / 0;5033;2021-12-18 13:52:44:111
7.875;-12.169;-5.558;-7.7333;-4.9847;-3.3902;-5.2816;3.4205;3.6438;18.59;-56.62;-23.55;5305.0;-41.29;1.26;23.04;266.84;9.9;98.03;5.0;;;;NaN;;;;0 / 0;5533;2021-12-18 13:52:44:611
6.704;-6.3;-3.24;-6.3351;-6.7469;-3.2513;-3.1849;-2.5433;0.4768;-55.62;23.6;-65.13;7822.0;-39.71;23.34;13.74;320.13;43.46;117.17;5.0;;;;NaN;;;;0 / 0;6032;2021-12-18 13:52:45:110
6.704;-6.3;-3.24;-6.3351;-6.7469;-3.2513;-3.1849;-2.5433;0.4768;-55.62;23.6;-65.13;7822.0;-39.71;23.34;13.74;320.13;43.46;117.17;5.0;;;;NaN;;;;0 / 0;6033;2021-12-18 13:52:45:111
6.704;-6.3;-3.24;-6.3351;-6.7469;-3.2513;-3.1849;-2.5433;0.4768;-55.62;23.6;-65.13;7822.0;-39.71;23.34;13.74;320.13;43.46;117.17;5.0;;;;NaN;;;;0 / 0;6034;2021-12-18 13:52:45:112
6.704;-6.3;-3.24;-6.3351;-6.7469;-3.2513;-3.1849;-2.5433;0.4768;-55.62;23.6;-65.13;7822.0;-39.71;23.34;13.74;320.13;43.46;117.17;5.0;;;;NaN;;;;0 / 0;6065;2021-12-18 13:52:45:143
