sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.108;6.048;8.949;1.0472;6.0482;7.6481;-0.7625;-0.2507;-3.1579;-26.64;-18.71;-23.89;85.49;-38.71;-6.18;5.0;;;;NaN;;;;0 / 0;30;2022-01-06 16:19:12:643
-0.21;7.4891;11.0531;1.0983;6.2515;7.4755;2.5377;-3.4968;-0.4214;-21.3;-22.2;-26.1;89.37;-37.52;-11.13;5.0;;;;NaN;;;;0 / 0;529;2022-01-06 16:19:13:142
2.132;4.119;13.22;0.1654;5.8669;7.8564;1.6323;-0.9756;-4.5317;-19.56;-23.4;-28.99;92.06;-36.71;-2.09;5.0;;;;NaN;;;;0 / 0;1030;2022-01-06 16:19:13:643
-3.403;7.889;8.478;-0.9711;4.2494;8.7847;3.5658;-2.2596;-3.4562;-7.69;-29.64;-29.7;142.19;-25.68;6.31;5.0;;;;NaN;;;;0 / 0;1529;2022-01-06 16:19:14:142
-6.374;5.531;12.908;-4.443;4.6529;7.4014;2.7552;0.0242;4.7231;-0.71;-27.6;-34.44;119.85;-29.19;30.55;5.0;;;;NaN;;;;0 / 0;2029;2022-01-06 16:19:14:642
0.311;-0.483;11.0441;-2.4438;2.1767;9.2445;-2.2294;2.4959;-4.8886;-17.34;-8.7;-40.01;89.15;-16.04;17.93;5.0;;;;NaN;;;;0 / 0;2529;2022-01-06 16:19:15:142
-0.2171;3.521;11.01;-1.8819;2.0379;9.4062;-2.059;-1.4217;0.9752;-17.94;-16.5;-36.54;109.55;-11.99;11.31;5.0;;;;NaN;;;;0 / 0;3030;2022-01-06 16:19:15:643
-1.208;5.9741;6.647;0.5147;4.0657;8.9093;1.6384;-1.7355;2.1897;-12.36;-22.86;-35.89;120.11;-24.49;-3.31;5.0;;;;NaN;;;;0 / 0;3529;2022-01-06 16:19:16:142
-0.684;6.096;7.568;-0.5679;5.1741;8.3112;-0.4045;-0.8461;1.215;-8.59;-28.09;-32.34;124.83;-31.03;4.22;5.0;;;;NaN;;;;0 / 0;4029;2022-01-06 16:19:16:642
-1.548;5.7161;5.313;-0.5468;5.5712;8.0519;0.6593;1.0423;1.704;-9.41;-32.21;-29.04;133.12;-34.29;4.55;5.0;;;;NaN;;;;0 / 0;4529;2022-01-06 16:19:17:142
-1.4839;5.7041;6.893;-1.7318;5.5344;7.9083;-1.0014;0.2666;2.6241;-11.59;-34.69;-31.56;124.75;-33.92;13.3;5.0;;;;NaN;;;;0 / 0;5029;2022-01-06 16:19:17:642
0.3971;4.5911;6.24;-0.6624;5.9295;7.7828;0.686;1.8843;3.4516;-10.99;-34.69;-30.66;125.7;-37.2;4.86;5.0;;;;NaN;;;;0 / 0;5529;2022-01-06 16:19:18:142
-0.928;4.43;7.145;-1.8889;4.0445;8.7318;-0.9764;0.0946;2.6026;-8.46;-31.09;-34.14;134.0;-25.53;11.93;5.0;;;;NaN;;;;0 / 0;6030;2022-01-06 16:19:18:643
-2.4431;1.5791;8.322;-0.9472;4.2449;8.7894;0.837;2.2155;1.7477;-9.9;-29.81;-34.91;127.65;-28.04;6.33;5.0;;;;NaN;;;;0 / 0;6530;2022-01-06 16:19:19:143
-3.3821;1.2611;8.1161;-2.8981;2.8553;8.9229;0.4197;1.5048;0.8298;-4.2;-26.81;-37.8;139.1;-18.46;16.62;5.0;;;;NaN;;;;0 / 0;7029;2022-01-06 16:19:19:642
-0.653;4.638;3.848;-1.5185;3.752;8.9324;-2.3971;-0.4591;-0.7285;-16.69;-30.3;-30.3;128.88;-21.0;13.49;5.0;;;;NaN;;;;0 / 0;7529;2022-01-06 16:19:20:142
-1.148;4.5161;6.948;-2.0713;5.2469;8.0219;-1.7666;0.7212;1.8305;-15.06;-34.31;-26.7;128.2;-32.35;14.48;5.0;;;;NaN;;;;0 / 0;8029;2022-01-06 16:19:20:642
