"x","y","z","t","class"
1.7999,-0.6006,-0.9876,2021-12-18 14:07:40,2
-0.4456,0.1279,-0.7905,2021-12-18 14:07:41,2
0.0838,-0.0432,0.0428,2021-12-18 14:07:42,2
0.124,0.1562,0.0478,2021-12-18 14:07:43,2
-0.2661,0.537,0.1779,2021-12-18 14:07:44,2
-1.0052,-1.7193,2.6994,2021-12-18 14:07:45,2
1.44,-4.1709,-7.3297,2021-12-18 14:07:46,2
5.5526,18.3253,-8.0608,2021-12-18 14:07:47,2
-10.1302,-10.8809,-3.8684,2021-12-18 14:07:48,2
0.4463,-12.8086,-1.0297,2021-12-18 14:07:49,2
0.1216,-0.5073,-7.0926,2021-12-18 14:07:50,2
-0.7449,-1.2698,1.2067,2021-12-18 14:07:51,2
-5.2275,-2.8736,5.6661,2021-12-18 14:07:52,2
4.1425,-2.824,-5.4085,2021-12-18 14:07:53,2
-0.3845,1.1981,-0.5861,2021-12-18 14:07:54,2
0.3954,-2.3509,4.3072,2021-12-18 14:07:55,2
0.1481,0.0385,0.0768,2021-12-18 14:07:56,2
0.6143,0.1786,-0.2253,2021-12-18 14:07:57,2
0.1446,0.1872,0.5085,2021-12-18 14:07:58,2
-0.3232,-0.2971,0.2895,2021-12-18 14:07:59,2
-0.3944,0.0704,-0.1952,2021-12-18 14:08:00,2
-0.2572,0.00679999999999999,0.5966,2021-12-18 14:08:01,2
0.7094,15.0171,-4.6666,2021-12-18 14:08:02,2
1.9371,-19.3642,3.282,2021-12-18 14:08:03,2
0.7176,-6.0292,-0.2073,2021-12-18 14:08:04,2
-4.8758,-3.9553,-6.3954,2021-12-18 14:08:05,2
0.297199999999999,8.1944,-3.5283,2021-12-18 14:08:06,2
0.7957,-8.4829,-1.0916,2021-12-18 14:08:07,2
-0.7413,1.4991,-13.1859,2021-12-18 14:08:08,2
7.0119,12.3764,-12.0444,2021-12-18 14:08:09,2
-3.6625,-1.3483,3.9855,2021-12-18 14:08:10,2
-13.6744,-27.4044,8.63,2021-12-18 14:08:11,2
-3.5256,2.0804,-4.9853,2021-12-18 14:08:12,2
5.5894,-4.9797,-5.4249,2021-12-18 14:08:13,2
-5.4176,0.3234,6.0914,2021-12-18 14:08:14,2
-3.5775,7.5454,7.1686,2021-12-18 14:08:15,2
2.4788,4.3685,-7.0657,2021-12-18 14:08:16,2
-1.5662,-0.4979,0.1776,2021-12-18 14:08:17,2
0.0823,0.1918,-0.2575,2021-12-18 14:08:18,2
1.8491,0.2931,0.9273,2021-12-18 14:08:19,2
1.991,-1.715,-6.7366,2021-12-18 14:08:20,2
-20.6872,7.0542,8.3418,2021-12-18 14:08:21,2
4.8732,-3.2939,4.9716,2021-12-18 14:08:22,2
-0.4658,-0.5422,4.7543,2021-12-18 14:08:23,2
-1.325,3.8514,-6.1864,2021-12-18 14:08:24,2
2.0826,0.6202,-2.3497,2021-12-18 14:08:25,2
-1.162,0.5493,5.4918,2021-12-18 14:08:26,2
-9.7389,3.9143,1.7689,2021-12-18 14:08:27,2
2.9068,-11.618,8.3871,2021-12-18 14:08:28,2
1.8631,-6.29,-3.2316,2021-12-18 14:08:29,2
10.3387,13.3243,-6.8519,2021-12-18 14:08:30,2
-0.2812,-3.0197,-0.023,2021-12-18 14:08:31,2
-0.7271,-1.0366,-1.1111,2021-12-18 14:08:32,2
-1.816,1.3693,8.748,2021-12-18 14:08:33,2
0.00629999999999997,10.9132,-0.2162,2021-12-18 14:08:34,2
-4.9689,-7.1981,4.7217,2021-12-18 14:08:35,2
0.45,-2.1238,1.0817,2021-12-18 14:08:36,2
6.7242,4.8984,-4.015,2021-12-18 14:08:37,2
8.1375,-2.8002,-3.0039,2021-12-18 14:08:38,2
4.425,-1.5489,-2.3524,2021-12-18 14:08:39,2
-18.1228,-56.4583,9.8713,2021-12-18 14:08:40,2
6.017,20.7169,3.7878,2021-12-18 14:08:41,2
-3.272,-1.2011,-3.5843,2021-12-18 14:08:42,2
2.1589,-2.0709,-3.4681,2021-12-18 14:08:43,2
0.7761,2.8554,0.6107,2021-12-18 14:08:44,2
-1.2599,-2.5659,-1.5909,2021-12-18 14:08:45,2
-1.8402,24.5434,-10.3023,2021-12-18 14:08:46,2
-2.9508,-5.8036,0.0285,2021-12-18 14:08:47,2
-1.3485,-7.0115,-0.9005,2021-12-18 14:08:48,2
-1.1798,13.6569,-6.4299,2021-12-18 14:08:49,2
-2.3135,-6.795,-1.0414,2021-12-18 14:08:50,2
93.1969999999999,21.2439,11.3605,2021-12-18 14:08:51,2
3.4216,0.3092,-9.0415,2021-12-18 14:08:52,2
8.2806,-40.7201,6.6838,2021-12-18 14:08:53,2
1.3154,7.8788,4.3102,2021-12-18 14:08:54,2
5.5258,9.7951,6.7552,2021-12-18 14:08:55,2
3.321,7.2113,-3.5538,2021-12-18 14:08:56,2
3.8429,12.3166,0.7654,2021-12-18 14:08:57,2
-4.868,-5.2575,1.5133,2021-12-18 14:08:58,2
-0.8424,0.3318,5.4131,2021-12-18 14:08:59,2
-5.398,-7.4339,1.561,2021-12-18 14:09:00,2
4.4137,0.8937,-1.8341,2021-12-18 14:09:01,2
-6.5134,3.3918,16.1099,2021-12-18 14:09:02,2
1.387,-1.8363,2.7632,2021-12-18 14:09:03,2
-1.1503,-7.0106,0.5964,2021-12-18 14:09:04,2
-1.7844,-3.4094,0.2046,2021-12-18 14:09:05,2
0.0448999999999999,-3.8547,-2.0778,2021-12-18 14:09:06,2
11.061,3.2262,-7.493,2021-12-18 14:09:07,2
-0.6017,-0.3493,-2.1816,2021-12-18 14:09:08,2
-1.8817,-7.6605,4.3738,2021-12-18 14:09:09,2
17.4978,36.7861,6.1904,2021-12-18 14:09:10,2
-1.8229,0.8451,0.5056,2021-12-18 14:09:11,2
-2.9278,-2.5843,1.5917,2021-12-18 14:09:12,2
-0.7173,0.1092,-0.5346,2021-12-18 14:09:13,2
-0.9819,-4.4246,-0.0957,2021-12-18 14:09:14,2
3.3141,2.8359,-3.2427,2021-12-18 14:09:15,2
2.2385,3.7223,2.3343,2021-12-18 14:09:16,2
10.9745,1.9315,-3.8433,2021-12-18 14:09:17,2
